@relation 'Music: -C 6'

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-clam {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric

@data
0,0,0,0,0,1,0.211472,0.2408,0.230356,0.697833,0.292508,0.510475,0.380328,0.602973,0.423519,0.511389,0.597949,0.338659,0.755104,0.439784,0.440448,0.521484,0.25525,0.535803,0.127028,0.247775,0.31151,0.39947,0.408759,0.40878,0.38773,0.623536,0.516247,0.257018,0.452233,0.323296,0.389514,0.269565,0.091351,0.232521,0.094869,0.148057,0.109467,0.130171,0.212168,0.25367,0.144897,0.155633,0.128642,0.050087,0.120289,0.076114,0.09155,0.054465,0.27471,0.331435,0.893763,0.336364,0.175055,0.274228,0.239344,0.289847,0.318259,0.392479,0.17286,0.120203,0.214746,0.137633,0.107778,0.148052,0.063356,0.15873,0.002463,0.616541,0.163075,0.027203,0.117771
0,0,1,0,0,0,0.327734,0.14846,0.303904,0.126475,0.360788,0.799689,0.511326,0.658937,0.466301,0.84917,0.537577,0.476717,0.804427,0.523563,0.50956,0.731315,0.456419,0.39414,0.154786,0.307994,0.352351,0.458252,0.488574,0.513445,0.619939,0.76665,0.505548,0.324497,0.508066,0.532265,0.522701,0.269623,0.289502,0.297876,0.113949,0.339094,0.222182,0.236913,0.35438,0.430394,0.498604,0.284633,0.201413,0.159379,0.214832,0.217626,0.260538,0.085079,0.794385,0.331904,0.864492,0.590697,0.263046,0.226136,0.331146,0.331264,0.772864,0.678127,0.250559,0.240377,0.237825,0.326117,0.161393,0.158687,0.081941,0.301587,0.359725,0.285714,0.231877,0.330765,0.334728
0,0,0,0,0,1,0.313669,0.20741,0.253795,0.772172,0.436376,0.483187,0.253386,0.307609,0,0.486279,0.660633,0.597411,0.338244,0.193909,0.267927,0.272107,0.278918,0.409034,0.162081,0.264572,0.379814,0.402037,0.644413,0.460613,0.586117,0.695913,0.742059,0.369257,0.531603,0.584723,0.607241,0.359663,0.095627,0.136659,0.097452,0.109493,0.125449,0.114033,0.219992,0.21967,0.203865,0.139955,0.219497,0.06555,0.237327,0.216192,0.109399,0.106294,0.270873,0.22949,0.861312,0.294586,0.237361,0.262603,0.39747,0.342803,0.441045,0.367532,0.323301,0.157635,0.286441,0.197609,0.201383,0.141333,0.242477,0.666667,0,0.631579,0.041012,0.338835,0.233464
0,1,1,0,0,0,0.234748,0.345327,0.283809,0.528194,0.266313,0.579372,0.484155,0.651875,0.370097,0.779882,0.602328,0.46063,0.853308,0.4528,0.530215,0.398977,0.395557,0.692152,0.220567,0.453249,0.238826,0.572764,0.598216,0.474718,0.476521,0.550761,0.380412,0.250126,0.425383,0.30128,0.525105,0.301065,0.140133,0.373801,0.102736,0.257948,0.139977,0.430997,0.480594,0.232202,0.300224,0.211152,0.137166,0.101212,0.158198,0.095025,0.154887,0.100066,0.730688,0.378708,0.818712,0.369331,0.129316,0.475561,0.469299,0.245721,0.717489,0.521945,0.245106,0.248948,0.269829,0.146687,0.218662,0.195054,0.393317,0.333333,0.21295,0.315789,0.536923,0.084671,0.434118
1,1,0,0,0,0,0.27771,0.143388,0.082426,0.570862,0.507544,0.314299,0.532558,0.451664,0.420468,0.424654,0.559058,0.335306,0.510319,0.328701,0.296939,0.253013,0.085422,0.074489,0.041466,0.069153,0.08465,0.058673,0.059517,0.149142,0.162374,0.233419,0.28829,0.188359,0.338754,0.336389,0.390699,0.258074,0.048221,0.065753,0.12751,0.089905,0.185465,0.085849,0.148488,0.160821,0.206022,0.141676,0.230258,0.168704,0.303058,0.217072,0.244567,0.067839,0.302785,0.200585,0.917066,0.551269,0.3179,0.204591,0.092917,0.10673,0.147662,0.173159,0.155563,0.254386,0.298926,0.178989,0.166415,0.095197,0.02787,0.492063,0.064301,0.466165,0.129893,0.098826,0.193627
0,0,1,0,1,0,0.153733,0.193166,0.172533,0.504494,0.500435,0.3223,0.518497,0.544443,0.556717,0.421141,0.542566,0.491075,0.598121,0.4083,0.482491,0.170847,0.1377,0.473084,0.127689,0.327487,0.263234,0.376557,0.559402,0.397279,0.406618,0.610832,0.486099,0.261833,0.393226,0.361738,0.564765,0.261831,0.053199,0.333355,0.058471,0.239829,0.259305,0.232644,0.534792,0.393647,0.430266,0.278367,0.2625,0.193511,0.204458,0.196395,0.187249,0.096528,0.304236,0.519806,0.879214,0.466147,0.259951,0.43504,0.532265,0.382591,0.482674,0.544305,0.357823,0.237977,0.229839,0.25838,0.225686,0.112585,0.441481,0.428571,0.00104,0.406015,0.650154,0.061649,0.37117
0,1,1,0,0,0,0.278504,0.360188,0.29315,0.515101,0.337337,0.500074,0.570533,0.401525,0.281365,0.597712,0.514458,0.596788,0.567203,0.530883,0.423707,0.367813,0.365201,0.650212,0.219544,0.394345,0.325816,0.66936,0.706367,0.498167,0.564152,0.636381,0.560606,0.2994,0.290377,0.262581,0.350127,0.202868,0.25266,0.500377,0.057004,0.16327,0.232208,0.267594,0.375547,0.37464,0.298783,0.238138,0.312402,0.169474,0.155492,0.165976,0.166505,0.078101,0.668735,0.446913,0.850902,0.44142,0.312688,0.588557,0.496832,0.571916,0.593086,0.463995,0.52477,0.261155,0.195153,0.147109,0.160846,0.121754,0.081844,0.603175,0.111081,0.571429,0.216894,0.006707,0.203102
1,0,0,0,0,1,0.516686,0.328051,0.063607,0.897952,0.161482,0.289939,0.475401,0.371982,0.363421,0.735787,0.755096,0.404628,0.480516,0.522603,0.360721,0.346934,0.1776,0.125458,0.036416,0.036639,0.03771,0.10335,0.073835,0.097968,0.111009,0.252443,0.232582,0.129765,0.231562,0.239514,0.264446,0.164401,0.260258,0.107655,0.1443,0.031401,0.163504,0.201386,0.205169,0.171993,0.139318,0.119904,0.099474,0.060181,0.149103,0.191581,0.147597,0.103957,0.268816,0.171722,0.931484,0.476819,0.300914,0.12544,0.176908,0.117569,0.184239,0.28864,0.200702,0.168141,0.184766,0.204683,0.090772,0.133213,0.040654,0.492063,0.085588,0.466165,0.198542,0.106528,0.241388
1,1,0,0,0,0,0.515936,0.58442,0.237145,0.810956,0.212205,0.354888,0.322359,0.514662,0.333143,0.425845,0.508776,0.468496,0.699374,0.555302,0.46892,0.30275,0.421121,0.558457,0.141793,0.213573,0.239616,0.290653,0.18376,0.287841,0.308843,0.424813,0.378786,0.188538,0.364551,0.329045,0.3017,0.197948,0.360761,0.423953,0.500117,0.22668,0.198083,0.301845,0.168882,0.275756,0.41396,0.36155,0.188349,0.106339,0.234651,0.209608,0.146164,0.077715,0.545436,0.839572,0.953001,0.50122,0.450124,0.330765,0.208345,0.323428,0.56802,0.604962,0.531428,0.160902,0.348314,0.30226,0.130133,0.200855,0.433182,0.190476,0.328048,0.180451,0.507231,0.450035,0.513244
0,0,1,0,0,0,0.214329,0.104862,0.296674,0.087206,0.425015,0.650364,0.465021,0.71412,0.422019,0.898221,0.645579,0.562184,0.626439,0.534501,0.569824,0.78983,0.328825,0.345639,0.16614,0.271711,0.3202,0.51154,0.510393,0.36334,0.542705,0.60586,0.616972,0.250901,0.417275,0.415023,0.427294,0.317149,0.069453,0.11419,0.066866,0.346987,0.235782,0.236155,0.252793,0.274988,0.4055,0.226748,0.193683,0.119135,0.136361,0.137076,0.140982,0.092643,0.349443,0.159003,0.850945,0.643788,0.116503,0.330846,0.350429,0.186356,0.583625,0.495507,0.390761,0.188258,0.203822,0.168901,0.181166,0.143032,0.142792,0.333333,0,0.315789,0.29754,0.004244,0.14792
